Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
Female,No,65,Yes,Other,0.0,Low,5.0,Cat_6,A
Female,Yes,42,Yes,Artist,2.0,High,2.0,Cat_6,C
Male,Yes,55,No,Engineer,1.0,High,4.0,Cat_6,A
Female,No,26,No,Engineer,0.0,Low,2.0,Cat_6,D
Female,No,20,No,Healthcare,8.0,Low,4.0,Other,D
Female,Yes,37,No,Other,0.0,Low,4.0,Cat_6,D
Female,No,43,Yes,Other,4.0,Low,1.0,Cat_4,A
Male,No,60,No,Entertainment,0.0,Low,1.0,Cat_6,A
Male,Yes,39,Yes,Other,0.0,High,6.0,Cat_6,C
Male,Yes,42,Yes,Doctor,0.0,Average,2.0,Cat_6,C
Male,Yes,30,No,Healthcare,1.0,Average,4.0,Cat_6,D
Male,Yes,27,Yes,Doctor,0.0,Average,2.0,Other,D
Female,Yes,38,No,Engineer,1.0,Low,5.0,Other,B
Male,Yes,60,Yes,Other,9.0,Low,2.0,Cat_6,B
Male,Yes,52,Yes,Artist,2.0,High,1.0,Cat_4,D
Male,Yes,53,Yes,Doctor,14.0,Average,2.0,Cat_6,B
Female,No,31,No,Healthcare,1.0,Low,5.0,Cat_6,C
Male,Yes,55,Yes,Other,0.0,High,9.0,Cat_6,A
Male,No,26,No,Other,9.0,Low,3.0,Cat_6,D
Male,No,25,Yes,Healthcare,8.0,Low,4.0,Cat_6,D
Male,No,40,Yes,Healthcare,0.0,Low,2.0,Cat_6,D
Female,No,35,Yes,Artist,10.0,Low,1.0,Cat_6,A
Male,Yes,70,No,Other,0.0,High,3.0,Other,B
Female,No,28,No,Entertainment,0.0,Low,5.0,Other,D
Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
Male,No,29,Yes,Other,5.0,Low,1.0,Cat_6,D
Female,Yes,56,Yes,Entertainment,1.0,Average,2.0,Cat_6,A
Female,Yes,65,Yes,Artist,0.0,Average,2.0,Cat_6,C
Male,Yes,25,No,Entertainment,0.0,Average,2.0,Cat_3,D
Female,Yes,51,Yes,Artist,1.0,Average,3.0,Cat_6,C
Female,No,53,Yes,Entertainment,8.0,Average,4.0,Other,B
Female,No,25,No,Engineer,8.0,Low,3.0,Cat_6,D
Male,Yes,20,No,Healthcare,1.0,Average,4.0,Other,D
Male,No,23,No,Healthcare,1.0,Low,5.0,Cat_6,D
Male,Yes,41,Yes,Artist,0.0,Low,2.0,Cat_6,A
Female,No,32,No,Artist,3.0,Low,5.0,Other,B
Female,No,25,No,Other,0.0,Low,3.0,Other,C
Female,Yes,88,Yes,Other,1.0,High,2.0,Cat_6,B
Male,Yes,66,Yes,Entertainment,0.0,Average,2.0,Cat_6,B
Male,No,25,No,Doctor,7.0,Low,4.0,Cat_6,C
Female,No,37,Yes,Artist,3.0,Low,1.0,Cat_6,B
Male,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,B
Male,Yes,63,Yes,Artist,1.0,Low,1.0,Other,C
Female,No,20,No,Entertainment,1.0,Low,5.0,Other,B
Male,Yes,50,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
Male,Yes,41,Yes,Engineer,1.0,Average,2.0,Cat_4,C
Male,Yes,38,Yes,Engineer,1.0,Average,4.0,Cat_3,B
Female,No,21,No,Healthcare,1.0,Low,4.0,Cat_6,D
Male,Yes,37,Yes,Other,0.0,Average,5.0,Cat_6,B
Male,Yes,49,Yes,Artist,6.0,Average,2.0,Cat_6,C
Male,Yes,28,Yes,Healthcare,1.0,Low,4.0,Other,D
Male,Yes,51,Yes,Artist,1.0,Low,1.0,Cat_4,A
Male,Yes,39,Yes,Artist,1.0,Average,2.0,Cat_6,C
Female,Yes,33,Yes,Doctor,0.0,Average,2.0,Cat_6,B
Male,Yes,70,No,Other,0.0,High,2.0,Cat_3,C
Male,No,33,No,Engineer,1.0,Low,3.0,Cat_4,D
Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
Female,Yes,41,Yes,Artist,0.0,Average,2.0,Cat_6,C
Male,No,37,No,Healthcare,0.0,Low,5.0,Cat_3,A
Female,No,26,No,Healthcare,1.0,Low,4.0,Cat_3,C
Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
Female,No,33,No,Engineer,0.0,Low,5.0,Cat_3,D
Male,Yes,46,No,Artist,0.0,Low,3.0,Cat_4,A
Male,No,26,Yes,Doctor,1.0,Low,3.0,Cat_6,D
Male,Yes,71,No,Other,1.0,Average,2.0,Cat_6,C
Male,Yes,66,Yes,Other,1.0,High,2.0,Cat_6,C
Male,No,45,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
Male,Yes,42,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,Yes,28,Yes,Doctor,0.0,Low,9.0,Cat_4,D
Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,No,40,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,37,No,Other,0.0,Average,5.0,Cat_6,A
Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,A
Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,No,38,Yes,Artist,7.0,Low,1.0,Cat_6,B
Female,Yes,49,Yes,Artist,0.0,High,4.0,Other,B
Male,Yes,70,No,Other,0.0,Low,1.0,Cat_6,D
Male,Yes,33,No,Healthcare,8.0,Average,3.0,Cat_6,C
Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,C
Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
Female,Yes,29,No,Other,0.0,Low,4.0,Cat_6,D
Female,No,31,Yes,Entertainment,9.0,Low,3.0,Other,D
Male,Yes,77,Yes,Artist,1.0,High,2.0,Cat_6,A
Female,Yes,38,No,Doctor,1.0,Average,2.0,Cat_4,D
Female,No,32,No,Healthcare,8.0,Low,4.0,Cat_6,D
Male,Yes,39,No,Entertainment,1.0,Average,4.0,Cat_4,B
Male,No,27,Yes,Artist,7.0,Low,3.0,Cat_6,D
Female,Yes,63,Yes,Artist,0.0,High,4.0,Cat_6,C
Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
Male,No,37,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
Female,No,31,Yes,Healthcare,9.0,Low,3.0,Cat_3,D
Male,Yes,52,Yes,Other,1.0,High,4.0,Cat_6,C
Female,Yes,35,Yes,Engineer,1.0,Average,2.0,Cat_6,A
Female,No,25,Yes,Engineer,8.0,Low,3.0,Cat_6,D
Female,No,25,Yes,Entertainment,8.0,Low,3.0,Cat_6,D
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
Female,No,30,No,Entertainment,6.0,Low,1.0,Cat_6,A
Female,Yes,86,Yes,Other,0.0,High,2.0,Cat_6,B
Female,Yes,65,Yes,Artist,13.0,Low,1.0,Cat_6,B
Male,Yes,43,No,Artist,4.0,Average,2.0,Cat_6,C
Female,Yes,36,No,Engineer,1.0,Low,5.0,Cat_4,A
Female,No,53,No,Other,1.0,Low,1.0,Cat_6,D
Female,No,68,No,Healthcare,2.0,Low,3.0,Other,D
Male,Yes,25,Yes,Entertainment,1.0,High,2.0,Cat_3,D
Male,Yes,60,Yes,Other,0.0,Low,2.0,Cat_6,D
Male,Yes,67,No,Other,0.0,High,2.0,Cat_6,A
Male,Yes,30,Yes,Healthcare,1.0,High,2.0,Cat_4,B
Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_6,D
Male,Yes,49,Yes,Artist,0.0,Average,4.0,Cat_6,B
Female,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,C
Male,Yes,73,Yes,Other,2.0,Low,1.0,Cat_6,D
Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
Male,Yes,72,Yes,Entertainment,1.0,Average,3.0,Cat_6,C
Male,No,28,Yes,Artist,8.0,Low,3.0,Cat_6,C
Male,No,33,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
Male,No,37,Yes,Engineer,9.0,Low,1.0,Cat_6,D
Female,No,21,No,Engineer,0.0,Low,5.0,Other,D
Female,No,43,Yes,Artist,1.0,Low,1.0,Cat_4,A
Female,No,23,No,Healthcare,0.0,Low,4.0,Other,D
Male,No,21,No,Healthcare,0.0,Low,6.0,Cat_3,D
Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,No,37,Yes,Healthcare,0.0,Low,2.0,Cat_6,D
Female,Yes,46,No,Other,9.0,Low,1.0,Cat_3,A
Female,No,32,Yes,Artist,0.0,Low,7.0,Cat_6,A
Male,Yes,67,Yes,Artist,1.0,High,2.0,Cat_6,B
Female,No,28,Yes,Doctor,1.0,Low,3.0,Cat_6,B
Female,No,19,Yes,Artist,0.0,Low,2.0,Cat_6,A
Female,Yes,74,Yes,Other,1.0,Low,1.0,Cat_6,C
Female,No,22,No,Healthcare,6.0,Low,3.0,Cat_3,D
Male,Yes,73,No,Other,1.0,Low,3.0,Cat_6,C
Male,Yes,46,No,Entertainment,0.0,Average,3.0,Cat_6,A
Female,Yes,38,Yes,Artist,8.0,Low,1.0,Cat_6,D
Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,C
Male,Yes,61,Yes,Other,5.0,High,2.0,Cat_6,B
Male,No,31,Yes,Artist,1.0,Low,2.0,Cat_6,A
Male,Yes,62,Yes,Artist,1.0,Average,5.0,Cat_6,A
Male,Yes,49,No,Artist,1.0,Average,4.0,Cat_6,C
Male,No,49,Yes,Artist,0.0,Low,1.0,Cat_6,B
Male,No,32,Yes,Healthcare,4.0,Low,4.0,Other,D
Female,No,32,No,Healthcare,12.0,Low,3.0,Cat_6,A
Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
Male,Yes,51,No,Other,1.0,High,4.0,Cat_6,C
Female,No,22,No,Other,0.0,Low,4.0,Cat_6,D
Female,Yes,49,Yes,Artist,1.0,Average,4.0,Cat_6,C
Male,Yes,50,Yes,Doctor,1.0,Average,4.0,Cat_6,C
Male,No,29,No,Doctor,1.0,Low,2.0,Cat_6,D
Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
Male,Yes,82,Yes,Other,1.0,High,2.0,Cat_6,A
Male,Yes,61,No,Engineer,9.0,Average,4.0,Cat_6,C
Male,No,29,Yes,Artist,1.0,Low,6.0,Cat_6,A
Male,Yes,35,Yes,Artist,8.0,Average,4.0,Cat_6,C
Female,Yes,49,No,Entertainment,0.0,Low,1.0,Cat_3,A
Male,Yes,40,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
Female,No,33,Yes,Entertainment,0.0,Low,1.0,Other,B
Female,Yes,39,Yes,Artist,8.0,Average,3.0,Cat_6,B
Male,No,40,Yes,Doctor,9.0,Low,4.0,Cat_6,C
Male,Yes,51,Yes,Engineer,1.0,Average,5.0,Cat_6,C
Male,No,23,No,Healthcare,1.0,Low,4.0,Cat_6,D
Female,Yes,28,Yes,Healthcare,10.0,High,2.0,Cat_6,D
Male,Yes,38,Yes,Healthcare,1.0,High,4.0,Cat_3,D
Male,Yes,36,Yes,Artist,0.0,Average,2.0,Other,C
Male,Yes,41,Yes,Artist,8.0,Average,3.0,Cat_6,A
Female,No,28,Yes,Artist,1.0,Low,1.0,Cat_6,D
Female,Yes,72,Yes,Artist,0.0,Low,1.0,Cat_6,C
Female,Yes,43,Yes,Engineer,0.0,High,4.0,Cat_3,A
Female,Yes,37,No,Engineer,0.0,Average,4.0,Cat_4,A
Female,Yes,38,No,Engineer,1.0,Low,1.0,Cat_4,A
Male,Yes,29,No,Doctor,0.0,Low,2.0,Cat_4,A
Female,Yes,73,Yes,Other,1.0,Low,2.0,Cat_6,B
Female,No,42,Yes,Entertainment,6.0,Low,2.0,Cat_6,A
Female,Yes,61,Yes,Doctor,0.0,Average,4.0,Other,B
Male,Yes,50,No,Engineer,1.0,Low,2.0,Cat_6,D
Male,No,26,No,Entertainment,1.0,Low,3.0,Cat_3,D
Female,No,28,No,Other,0.0,Low,1.0,Other,A
Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
Male,Yes,50,Yes,Other,1.0,High,5.0,Cat_6,B
Male,Yes,43,Yes,Artist,5.0,Average,2.0,Cat_6,B
Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
Female,Yes,49,Yes,Artist,9.0,Low,2.0,Cat_6,B
Female,No,41,No,Doctor,0.0,Low,1.0,Cat_6,A
Male,Yes,79,Yes,Artist,0.0,High,2.0,Cat_6,C
Female,Yes,48,Yes,Artist,0.0,High,4.0,Cat_6,C
Female,Yes,40,Yes,Artist,1.0,Average,2.0,Cat_6,C
Female,Yes,61,No,Artist,1.0,Average,2.0,Other,B
Male,Yes,35,Yes,Entertainment,0.0,Average,2.0,Cat_3,C
Male,Yes,45,Yes,Artist,1.0,Average,6.0,Other,C
Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_4,D
Female,No,31,No,Other,8.0,Low,1.0,Cat_6,D
Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_6,D
Male,Yes,37,Yes,Doctor,1.0,Low,2.0,Cat_6,D
Male,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_6,B
Male,Yes,67,Yes,Other,0.0,Low,2.0,Cat_6,C
Male,No,46,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,Yes,35,Yes,Entertainment,1.0,Average,2.0,Cat_6,A
Male,Yes,66,No,Other,0.0,High,3.0,Cat_6,B
Female,No,30,Yes,Artist,0.0,Low,5.0,Other,A
Female,No,39,Yes,Engineer,0.0,Low,4.0,Cat_6,C
Female,No,43,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,No,20,No,Healthcare,1.0,Low,6.0,Cat_4,D
Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_3,D
Female,Yes,39,Yes,Artist,3.0,Average,2.0,Cat_6,C
Female,Yes,41,Yes,Artist,9.0,Low,1.0,Cat_6,C
Female,Yes,52,No,Engineer,9.0,Average,5.0,Cat_4,B
Male,Yes,33,Yes,Artist,0.0,Low,2.0,Cat_3,D
Male,No,31,No,Healthcare,0.0,Low,5.0,Cat_4,C
Female,Yes,66,Yes,Other,6.0,Average,4.0,Other,B
Female,No,40,Yes,Healthcare,8.0,Low,4.0,Other,D
Male,Yes,35,Yes,Other,14.0,Low,5.0,Cat_6,D
Male,Yes,30,No,Doctor,14.0,Average,2.0,Cat_4,A
Female,Yes,58,Yes,Engineer,0.0,High,4.0,Cat_6,B
Female,No,22,No,Healthcare,1.0,Low,7.0,Cat_3,D
Male,No,37,Yes,Doctor,0.0,Low,1.0,Other,B
Female,No,31,No,Entertainment,11.0,Low,5.0,Other,D
Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
Female,No,41,Yes,Artist,0.0,Low,4.0,Other,B
Male,Yes,50,Yes,Other,4.0,High,3.0,Cat_6,C
Male,No,30,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,Yes,41,Yes,Artist,8.0,Average,2.0,Cat_6,C
Female,No,30,Yes,Healthcare,0.0,Low,5.0,Other,D
Female,Yes,65,Yes,Other,0.0,High,3.0,Cat_6,B
Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,B
Female,Yes,37,Yes,Doctor,9.0,Average,2.0,Cat_6,C
Female,No,73,Yes,Artist,0.0,Low,1.0,Cat_6,C
Male,Yes,63,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
Male,Yes,51,Yes,Engineer,1.0,Low,2.0,Cat_6,D
Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_6,B
Male,No,27,Yes,Healthcare,8.0,Low,1.0,Cat_3,C
Male,Yes,41,Yes,Healthcare,8.0,Low,3.0,Cat_6,C
Male,Yes,41,No,Artist,2.0,Average,3.0,Cat_6,C
Female,Yes,33,No,Artist,6.0,Average,2.0,Cat_6,C
Female,Yes,50,Yes,Engineer,1.0,Average,4.0,Cat_4,B
Female,Yes,58,Yes,Doctor,5.0,Average,3.0,Other,D
Male,No,30,No,Entertainment,1.0,Low,2.0,Cat_4,D
Female,Yes,51,Yes,Doctor,1.0,Average,4.0,Cat_6,B
Female,Yes,77,No,Other,1.0,High,2.0,Cat_6,D
Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,B
Female,No,37,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
Female,Yes,71,No,Other,1.0,High,2.0,Cat_6,B
Male,Yes,59,Yes,Artist,1.0,Low,2.0,Cat_6,B
Female,Yes,63,No,Artist,0.0,High,2.0,Cat_6,B
Female,Yes,49,Yes,Engineer,1.0,High,5.0,Cat_3,B
Male,Yes,38,Yes,Doctor,3.0,Average,2.0,Cat_6,C
Male,Yes,49,Yes,Other,1.0,High,3.0,Cat_6,C
Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B
Male,Yes,36,No,Entertainment,1.0,Low,2.0,Cat_6,A
Male,Yes,76,No,Other,1.0,Low,1.0,Cat_6,C
Male,Yes,78,Yes,Other,0.0,Low,5.0,Cat_6,A
Male,Yes,35,Yes,Artist,0.0,Low,3.0,Cat_6,C
Female,Yes,74,No,Other,1.0,Low,1.0,Cat_6,A
Male,Yes,88,Yes,Other,1.0,Low,1.0,Cat_6,A
Male,No,18,No,Other,1.0,Low,6.0,Cat_3,D
Male,Yes,46,Yes,Other,9.0,Low,1.0,Cat_6,D
Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
Female,Yes,37,Yes,Engineer,1.0,Average,3.0,Cat_6,B
Female,Yes,46,Yes,Other,8.0,High,3.0,Cat_6,B
Male,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,C
Male,Yes,41,No,Doctor,1.0,Low,3.0,Cat_6,A
Male,Yes,83,No,Other,1.0,High,3.0,Cat_6,B
Female,Yes,28,Yes,Doctor,1.0,Average,2.0,Cat_4,A
Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,Yes,68,Yes,Other,0.0,Low,2.0,Cat_6,C
Male,Yes,43,No,Other,3.0,Low,5.0,Cat_6,B
Female,No,28,Yes,Healthcare,1.0,Low,5.0,Cat_6,B
Male,No,26,Yes,Engineer,0.0,Low,5.0,Cat_4,C
Male,Yes,66,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
Male,No,46,Yes,Artist,1.0,Low,2.0,Cat_6,B
Female,Yes,52,Yes,Doctor,1.0,Average,3.0,Cat_6,B
Male,No,21,No,Healthcare,0.0,Low,4.0,Cat_6,D
Female,Yes,51,Yes,Engineer,1.0,High,3.0,Cat_6,C
Female,No,32,No,Entertainment,1.0,Low,4.0,Cat_6,D
Male,No,35,Yes,Artist,4.0,Low,2.0,Cat_6,A
Female,No,25,No,Healthcare,1.0,Low,5.0,Cat_4,B
Female,Yes,35,Yes,Doctor,0.0,Average,3.0,Cat_3,A
Female,Yes,58,Yes,Other,1.0,High,4.0,Other,C
Female,No,40,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,35,Yes,Other,2.0,Average,5.0,Cat_6,B
Female,No,36,Yes,Engineer,0.0,Low,1.0,Cat_4,A
Male,Yes,46,Yes,Entertainment,1.0,Average,5.0,Cat_4,B
Female,No,18,No,Healthcare,3.0,Low,3.0,Other,D
Female,Yes,27,No,Other,1.0,Low,2.0,Cat_6,A
Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
Male,No,42,Yes,Artist,5.0,Low,1.0,Cat_4,A
Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
Male,Yes,48,Yes,Doctor,9.0,Average,5.0,Cat_6,C
Male,No,38,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,Yes,56,No,Other,0.0,High,3.0,Cat_3,A
Male,No,35,Yes,Artist,3.0,Low,1.0,Cat_6,B
Male,No,19,No,Healthcare,8.0,Low,5.0,Other,D
Female,Yes,60,Yes,Artist,1.0,Average,2.0,Cat_6,C
Male,Yes,49,Yes,Engineer,0.0,Average,2.0,Cat_3,C
Female,Yes,38,Yes,Artist,6.0,Low,2.0,Cat_3,B
Male,Yes,52,Yes,Entertainment,1.0,Average,3.0,Cat_6,B
Female,Yes,52,Yes,Engineer,1.0,Average,5.0,Cat_4,B
Male,No,38,Yes,Entertainment,7.0,Low,1.0,Cat_6,D
Female,No,23,No,Doctor,0.0,Low,3.0,Cat_6,C
Female,Yes,52,Yes,Doctor,0.0,Average,4.0,Cat_6,C
Male,Yes,26,Yes,Healthcare,6.0,Low,2.0,Cat_6,D
